Date,Stock,ClosePrice
4/29/2025,ICICIBANK,1418.852051
4/30/2025,ICICIBANK,1416.073486
5/2/2025,ICICIBANK,1419.149658
5/5/2025,ICICIBANK,1418.455078
5/6/2025,ICICIBANK,1420.638184
5/7/2025,ICICIBANK,1424.40918
5/8/2025,ICICIBANK,1424.508423
5/9/2025,ICICIBANK,1378.265259
5/12/2025,ICICIBANK,1437.408813
5/13/2025,ICICIBANK,1419.645874
5/14/2025,ICICIBANK,1415.279541
5/15/2025,ICICIBANK,1439.691284
5/16/2025,ICICIBANK,1442.866699
5/19/2025,ICICIBANK,1437.905029
5/20/2025,ICICIBANK,1427.187622
5/21/2025,ICICIBANK,1433.637939
5/22/2025,ICICIBANK,1431.057861
5/23/2025,ICICIBANK,1438.698975
5/26/2025,ICICIBANK,1449.416138
5/27/2025,ICICIBANK,1435.324951
5/28/2025,ICICIBANK,1442.668335
5/29/2025,ICICIBANK,1445.347534
5/30/2025,ICICIBANK,1434.729614
6/2/2025,ICICIBANK,1439.393555
6/3/2025,ICICIBANK,1426.890015
6/4/2025,ICICIBANK,1420.042847
6/5/2025,ICICIBANK,1443.660645
6/6/2025,ICICIBANK,1448.523071
6/9/2025,ICICIBANK,1423.813843
6/10/2025,ICICIBANK,1412.004883
6/11/2025,ICICIBANK,1420.042847
6/12/2025,ICICIBANK,1414.287231
6/13/2025,ICICIBANK,1405.256958
6/16/2025,ICICIBANK,1415.974243
6/17/2025,ICICIBANK,1412.30249
6/18/2025,ICICIBANK,1401.783691
6/19/2025,ICICIBANK,1400.493774
6/20/2025,ICICIBANK,1416.172729
6/23/2025,ICICIBANK,1409.226318
6/24/2025,ICICIBANK,1413.195679
6/25/2025,ICICIBANK,1414.88269
6/26/2025,ICICIBANK,1428.080811
6/27/2025,ICICIBANK,1451.003906
6/30/2025,ICICIBANK,1434.729614
7/1/2025,ICICIBANK,1421.035156
7/2/2025,ICICIBANK,1416.867432
7/3/2025,ICICIBANK,1414.981934
7/4/2025,ICICIBANK,1431.752563
7/7/2025,ICICIBANK,1424.706787
7/8/2025,ICICIBANK,1430.958618
7/9/2025,ICICIBANK,1420.936035
7/10/2025,ICICIBANK,1413.195679
7/11/2025,ICICIBANK,1411.012573
7/14/2025,ICICIBANK,1412.104126
7/15/2025,ICICIBANK,1419.844482
7/16/2025,ICICIBANK,1415.478149
7/17/2025,ICICIBANK,1407.837036
7/18/2025,ICICIBANK,1414.88269
7/21/2025,ICICIBANK,1454.576416
7/22/2025,ICICIBANK,1462.31665
7/23/2025,ICICIBANK,1477.201782
7/24/2025,ICICIBANK,1472.041626
7/25/2025,ICICIBANK,1465.789795
7/28/2025,ICICIBANK,1477.003418
7/29/2025,ICICIBANK,1474.82019
7/30/2025,ICICIBANK,1471.049316
7/31/2025,ICICIBANK,1470.057007
8/1/2025,ICICIBANK,1460.331909
8/4/2025,ICICIBANK,1451.996216
8/5/2025,ICICIBANK,1433.34021
8/6/2025,ICICIBANK,1432.546387
8/7/2025,ICICIBANK,1429.271729
8/8/2025,ICICIBANK,1424.905396
8/11/2025,ICICIBANK,1425.599976
8/12/2025,ICICIBANK,1422
8/13/2025,ICICIBANK,1420.800049
8/14/2025,ICICIBANK,1427.300049
8/18/2025,ICICIBANK,1434.599976
8/19/2025,ICICIBANK,1436.300049
8/20/2025,ICICIBANK,1430.599976
8/21/2025,ICICIBANK,1446
8/22/2025,ICICIBANK,1436.400024
8/25/2025,ICICIBANK,1433.199951
8/26/2025,ICICIBANK,1416.599976
8/28/2025,ICICIBANK,1399.099976
8/29/2025,ICICIBANK,1397.800049
9/1/2025,ICICIBANK,1411
9/2/2025,ICICIBANK,1394.199951
9/3/2025,ICICIBANK,1397
9/4/2025,ICICIBANK,1405.5
9/5/2025,ICICIBANK,1402.800049
9/8/2025,ICICIBANK,1402.699951
9/9/2025,ICICIBANK,1403.699951
9/10/2025,ICICIBANK,1403.900024
9/11/2025,ICICIBANK,1401.599976
9/12/2025,ICICIBANK,1417.699951
9/15/2025,ICICIBANK,1419.400024
9/16/2025,ICICIBANK,1421.599976
9/17/2025,ICICIBANK,1419.199951
9/18/2025,ICICIBANK,1421.699951
9/19/2025,ICICIBANK,1402.199951
9/22/2025,ICICIBANK,1401.5
9/23/2025,ICICIBANK,1394.300049
9/24/2025,ICICIBANK,1382.699951
9/25/2025,ICICIBANK,1375.800049
9/26/2025,ICICIBANK,1359.599976
9/29/2025,ICICIBANK,1348.099976
9/30/2025,ICICIBANK,1348
10/1/2025,ICICIBANK,1372
10/3/2025,ICICIBANK,1365.199951
10/6/2025,ICICIBANK,1363.400024
10/7/2025,ICICIBANK,1375.900024
10/8/2025,ICICIBANK,1370.300049
10/9/2025,ICICIBANK,1376.199951
10/10/2025,ICICIBANK,1380.300049
10/13/2025,ICICIBANK,1379.400024
10/14/2025,ICICIBANK,1384.099976
10/15/2025,ICICIBANK,1398.400024
10/16/2025,ICICIBANK,1417.300049
10/17/2025,ICICIBANK,1436.599976
10/20/2025,ICICIBANK,1390.300049
10/21/2025,ICICIBANK,1382
10/23/2025,ICICIBANK,1363.699951
10/24/2025,ICICIBANK,1377.699951
